task,best_threshold,prior,num_of_pos,num_of_pred_pos
UBERON:0002435,0.0021764184934953,0.0005773672055427252,18,33
UBERON:0000955,0.2821957659562489,0.034762952101661776,1138,3667
UBERON:0002020,0.9630254783138384,0.013443314548373895,427,22
UBERON:0000165,0.3737648655776652,0.030977198697068404,951,262
CL:0000576,0.3633675735952061,0.0062375530755645735,166,504
UBERON:0035553,0.0031331934702124,0.0015255530129672007,48,380
CL:0000164,0.0007977918366425,0.0032761252373329362,88,37652
UBERON:0010011,0.0021772040958249,0.0010648960160360812,34,33
UBERON:0008811,0.0238355653626068,0.0005571892895836558,18,14
UBERON:0010392,0.1351292921788105,0.0042961231784437726,125,105
CL:0002328,0.5284146013133454,0.005083962409490063,132,97
UBERON:0000200,0.8318010735946177,0.004635698072189009,145,20
UBERON:0002372,0.0056284166793053,0.0007287791032181351,19,0
CL:0002202,0.047665733942896,0.005079071915040979,132,171
UBERON:0001870,0.6903979042846841,0.003327041811958156,104,158
UBERON:0002728,0.8427968736746169,0.004635698072189009,145,20
CL:0000775,0.0105978957224275,0.003266431967480855,90,1509
UBERON:0002308,0.0021762124481694,0.0008339748524506031,26,33
UBERON:0001155,0.5310050866654813,0.06435006435006435,2100,1619
UBERON:0002031,0.2165512800291835,0.004502199938606365,132,160
CL:0002319,0.027873676442443,0.011874977976672892,337,143
UBERON:0000072,0.198093740412392,0.07243025734962914,2412,4512
UBERON:0000991,0.0658995538829665,0.03102970601816223,1008,2113
UBERON:0000204,0.0021770008665177,0.0005637684790779253,18,33
UBERON:0000945,0.0062617539741582,0.0063556037823593245,205,1380
UBERON:0010147,0.6571875159969345,0.010808473843493299,350,664
UBERON:0001017,0.0692287174111854,0.05105411736440627,1700,5690
CL:0001201,0.0017137976009443,0.0031252382041314125,82,5738
UBERON:0003133,0.1357708132420584,0.0531591737545565,1750,3598
UBERON:0001041,0.0041203305284237,0.0063556037823593245,205,1353
UBERON:0016525,0.4850753442183345,0.003248883196401237,104,151
UBERON:0001890,0.8988343129280455,0.014013609669701395,451,419
UBERON:0001332,0.025646533901085,0.0005865293753462153,18,14
UBERON:0000073,0.7828380389321559,0.015896442517602926,517,190
UBERON:0019319,0.0300954235435096,0.000512310520447217,17,93
UBERON:0003528,0.3052965227550795,0.013588772555134774,427,1081
UBERON:0004151,0.0071092402267048,0.0015255530129672007,48,350
UBERON:0002481,0.0001416668438913,0.0015722240419259745,48,2731
UBERON:0002037,0.000366596973346,0.001816587321473315,58,469
UBERON:0000474,0.075781026433433,0.047419335088471196,1549,4243
UBERON:0001003,3.654268700647663e-05,0.015392189038398424,469,279
UBERON:0004765,0.0888480442089039,0.08215467002677587,2608,2516
UBERON:0002465,0.0401549797847434,0.02622495939361126,775,2487
UBERON:0004908,0.0453596399541413,0.002881487219209915,93,157
UBERON:0005399,0.9700676154047762,0.010931999258847507,354,340
UBERON:0004802,0.5123836403597093,0.005248091603053435,154,146
UBERON:0001557,0.0032331125776618,0.0034019975031210985,109,286
UBERON:0010260,0.5111133866111913,0.0017755040625940415,59,164
UBERON:0002072,0.015952365987193,0.017730816701285408,589,55
UBERON:0011215,0.9628464504427948,0.013443314548373895,427,22
CL:0000145,0.0852514525737485,0.01087073512000861,303,804
UBERON:0005409,0.0524225932516942,0.09110305099210582,2989,6792
UBERON:0005401,0.840967147780489,0.012510345705736297,393,373
UBERON:0002097,0.2075840507249109,0.021230593675865588,707,2695
UBERON:0005156,0.120199262952524,0.06418590522478736,2113,5847
UBERON:0002190,0.2040385391207174,0.01940372261571405,589,424
UBERON:0006098,0.0021767565701197,0.0005773672055427252,18,33
UBERON:0000079,0.0440034375858768,0.011981595281474848,388,1708
UBERON:0001895,0.0007572106506072,0.001816587321473315,58,1943
CL:0000540,0.0160778093431588,0.0005993724218171561,17,86
CL:2000064,0.0043639536151266,0.007627914254420279,195,1846
UBERON:0019264,0.8939891842327964,0.01333418196862171,419,321
UBERON:0004732,0.0007923370509892,0.001797446386512954,58,1341
CL:0002553,0.096239426721499,0.0013258752848560181,32,13
UBERON:0015410,0.1311446232675596,0.006765728738539361,214,196
UBERON:0004804,0.0101887009268252,0.002185330090585457,62,88
CL:0000084,0.1972828866292431,0.019191994623254424,514,1283
UBERON:0002371,0.0082677335753361,0.09328577732019415,2537,8539
UBERON:0000171,0.3193171772432004,0.0644182833803832,2145,3022
UBERON:0000059,0.0636670700763689,0.08439024390243903,2768,3256
UBERON:0008397,0.7207312691480595,0.004501739308369143,132,102
UBERON:0003889,0.0472327363604142,0.002026474914201667,62,53
CL:0000125,0.0008004610435557,0.01128270220717862,320,41128
CL:2000001,0.0947927809389416,0.03233312921004287,792,9264
UBERON:0002368,0.6337204427325082,0.04613028200738805,1536,1830
UBERON:0005366,0.6622846845749522,0.004526864599918828,145,22
UBERON:0003937,0.9700943884611768,0.010931999258847507,354,340
UBERON:0001638,0.5239744809522904,0.0017755040625940415,59,165
UBERON:0004537,0.4971192851159,0.002195884971724221,73,176
UBERON:0000117,0.6473759705627719,0.005836818777701479,187,131
UBERON:0002028,0.0021844690791527,0.001816587321473315,58,358
UBERON:0013755,0.8826094400385057,0.00261027464628887,69,0
UBERON:0002423,0.2326562462657357,0.03171077796286014,1028,2174
UBERON:0019042,0.2404335412412282,0.004820319500664339,156,157
UBERON:0002369,0.0941985290181885,0.004574243490499648,143,113
UBERON:0006858,0.0026847641741421,0.004343204252088079,143,219
UBERON:8440011,0.0509423536477952,0.000384874434715674,12,0
CL:0000842,0.0675365943908202,0.1599023182224668,4649,23962
UBERON:0003134,0.0440221791764787,0.03260066494274104,1059,2272
UBERON:0000002,0.0158953156224406,0.002051983584131327,66,1060
UBERON:0004815,0.7412492619756162,0.004501739308369143,132,97
UBERON:0002421,0.5985914116414011,0.0020818653513548138,65,30
UBERON:0003975,0.1122141159584284,0.00191920755301037,62,9
UBERON:0004733,0.0021831792328214,0.001816587321473315,58,358
UBERON:0001255,0.4240630690458744,0.0007832386919913843,24,75
UBERON:0003729,0.000604350173019,0.0181835988508749,557,3147
CL:0000095,0.0005488374659467,0.01128270220717862,320,92014
UBERON:0006524,0.776365743110452,0.00656212141607215,195,121
UBERON:0000454,0.002177259239288,0.0010648960160360812,34,33
UBERON:3000961,0.0001825817031491,0.014083661151316778,469,942
UBERON:0004921,0.0645528883898799,0.12443377010306145,4093,9626
UBERON:0001981,0.4481573296545652,0.0017755040625940415,59,199
UBERON:0001950,0.0244843415762589,0.003327041811958156,104,465
UBERON:0000993,0.0185662243361859,0.016408077822928212,533,2952
UBERON:0010074,0.0026848034009356,0.004343204252088079,143,219
CL:0000127,0.0007984131632687,0.0016298185941043084,46,23
UBERON:0002021,0.0509518755275268,0.000384874434715674,12,0
CL:0000766,0.5931790630827213,0.014790110925831945,408,516
UBERON:0011595,0.0001884543370863,0.020391517128874388,625,1333
UBERON:0004582,0.5239988895818988,0.0017755040625940415,59,165
CL:0000094,0.0255593511823422,0.003266431967480855,90,206
UBERON:0002084,0.0023005030015223,0.0012079214215327887,38,183
UBERON:0013765,0.1486587771444823,0.12824163839069316,4233,7253
UBERON:0003929,0.1361359715412156,0.0006407662215027654,19,0
UBERON:0002973,0.9561891495750364,0.004635698072189009,145,0
CL:0000126,0.0007983731070984,0.0038604568797591643,109,23
UBERON:0001005,0.1986432864242611,0.07243025734962914,2412,4687
UBERON:0004770,0.0004115505677775,0.0006379585326953748,20,60
UBERON:0002066,0.4359697701766138,0.0017755040625940415,59,189
UBERON:0001558,0.2474005230766433,0.06850055557223941,2281,3934
UBERON:0002082,0.0021414875905851,0.0012079214215327887,38,509
