task,best_threshold,prior,num_of_pos,num_of_pred_pos
MONDO:0020120,0.1342341216709126,0.011697497279651796,43,266
MONDO:0700092,0.1941665283862624,0.022306855277475515,82,150
MONDO:0005101,0.0534042442975938,0.007619047619047619,28,182
MONDO:0021143,0.0826480257129538,0.036996735582154515,136,1956
MONDO:0005072,0.079651385553566,0.03428571428571429,126,1024
MONDO:0016105,0.0080980880891087,0.0029923830250272033,11,201
MONDO:0004987,0.0083285258692522,0.0035364526659412403,13,585
MONDO:0021350,0.1832612309022646,0.10554951033732318,388,11399
MONDO:0005525,0.0219939408760426,0.00681384573453257,25,434
MONDO:0020076,0.1079495196474659,0.04672131147540984,171,4628
MONDO:0005232,0.010462893599142,0.003005464480874317,11,23
MONDO:0018908,0.110735912645136,0.050422458435541016,185,3219
MONDO:0005627,0.0398600125691902,0.012558012558012558,46,657
MONDO:0000761,0.0129048015050854,0.004896626768226333,18,17
MONDO:0005499,0.0043530187879655,0.0033076074972436605,12,824
MONDO:0021084,0.0289663005055091,0.004624591947769314,17,139
MONDO:0005192,0.031743266279945,0.00822143052891203,30,1906
MONDO:0021639,0.0228966632722475,0.006260206859009254,23,33
MONDO:0002512,0.0425195129826905,0.004920721705850191,18,107
MONDO:0011962,0.0084553663602541,0.003549003549003549,13,80
MONDO:0040677,0.1072650895038103,0.007650273224043716,28,26
MONDO:0007256,0.070852199939559,0.026582625376815567,97,2652
MONDO:0003225,0.1585642370919689,0.04733405875952122,174,3418
MONDO:0006816,0.0403151460515776,0.016866158868335146,62,796
MONDO:0009807,0.0047220962970146,0.003005464480874317,11,355
MONDO:0005093,0.0397627003392582,0.025571273122959738,94,3285
MONDO:0001516,0.0079888307440787,0.0029964587305911197,11,78
MONDO:0043218,0.0183738822418273,0.008707482993197279,32,154
MONDO:0010150,0.0125787782616712,0.006025746370857299,22,961
MONDO:0004993,0.4200372831769654,0.1709448388858547,626,7083
MONDO:0004867,0.0232523477116948,0.013057671381936888,48,533
MONDO:0019118,0.0319024890607951,0.004352557127312296,16,87
MONDO:0018881,0.04283417615601,0.0038095238095238095,14,34
MONDO:0021118,0.0866284998777677,0.04542981501632209,167,4231
MONDO:0005271,0.0131009254535997,0.006800870511425462,25,950
MONDO:0003240,0.0083367967604815,0.006530612244897959,24,865
MONDO:0019044,0.1551924666519599,0.1180952380952381,434,16252
MONDO:0019086,0.0234741981100265,0.0032804811372334607,12,126
MONDO:0005108,0.1057883774866328,0.046296296296296294,170,7738
MONDO:0000605,0.044889087464276,0.009249183895538629,34,40
MONDO:0020238,0.0275251520480005,0.005712731229597388,21,216
MONDO:0044881,0.1659695762949678,0.11891156462585034,437,13970
MONDO:0002251,0.0317178081992524,0.007348938486663037,27,267
MONDO:0024622,0.1461427380586991,0.004654983570646221,17,59
MONDO:0002547,0.0051180895699495,0.002993197278911565,11,47
MONDO:0005154,0.0890234706481251,0.03945578231292517,145,6670
MONDO:0011996,0.0293815876213455,0.016146688560481664,59,2965
MONDO:0018177,0.1360312641795703,0.027019575406672183,98,1204
MONDO:0004580,0.0228119154368541,0.004896626768226333,18,170
MONDO:0004959,0.097385766842652,0.01308971911644396,48,547
MONDO:0021230,0.0613722217575328,0.00544069640914037,20,71
MONDO:0002271,0.0132489130733676,0.0036661026508742244,13,46
MONDO:0011057,0.0120557869943386,0.006530612244897959,24,119
MONDO:0005148,0.0161098275437696,0.006541291905151268,24,935
MONDO:0000653,0.0536246915246167,0.012285012285012284,45,424
MONDO:0006513,0.0376934486433945,0.0071184510250569474,25,1330
MONDO:0006316,0.079671329109478,0.03428571428571429,126,1024
MONDO:0000931,0.0491081805541796,0.0073449401523395,27,170
MONDO:0017343,0.0283759456675509,0.007072905331882481,26,154
MONDO:0005292,0.1067701396983294,0.00816326530612245,30,100
MONDO:0003409,0.0868875899041387,0.018498367791077257,68,543
MONDO:0006011,0.0316436082292742,0.00654485955822198,24,211
MONDO:0015759,0.1043963982472487,0.033560709413369715,123,1309
MONDO:0015653,0.020459792532381,0.004089422028353326,15,27
MONDO:0003150,0.0461453620595396,0.027747551686615888,102,3644
MONDO:0024635,0.0113967215847758,0.004624591947769314,17,52
MONDO:0005462,0.1505934985881524,0.03536452665941241,130,784
MONDO:0005097,0.0837529177634379,0.008528198074277854,31,187
MONDO:0021179,0.0099121670537745,0.004354926510615134,16,34
MONDO:0002813,0.0218725895673332,0.004368004368004368,16,3
MONDO:0000616,0.1181119402557094,0.004555808656036446,16,0
MONDO:0005718,0.0242102647434184,0.0032697547683923707,12,305
MONDO:0020511,0.0077532877199798,0.00411522633744856,15,280
MONDO:0004980,0.0232419693562246,0.003267084127416281,12,43
MONDO:0002898,0.0143833119346001,0.004641004641004641,17,3
MONDO:0002602,0.392525716549891,0.25544069640914036,939,11345
MONDO:0017595,0.0637044600930743,0.019099590723055934,70,907
MONDO:0000314,0.0205137681153054,0.008724100327153763,32,689
MONDO:0005564,0.1595545656577355,0.04815016322089227,177,1208
MONDO:0002908,0.0662333972182671,0.014153511159499184,52,611
MONDO:0003182,0.1539905335735363,0.0220348204570185,81,325
MONDO:0002525,0.0046674361083098,0.003538377789874796,13,24
MONDO:0005217,0.022489794729939,0.006265322800326887,23,338
MONDO:0005328,0.0481788352357361,0.020946681175190423,77,1106
MONDO:0005021,0.0648555764598645,0.006537728139471534,24,12
MONDO:0024634,0.1126386593103765,0.04951033732317737,182,3898
MONDO:0002082,0.1171003426606496,0.049523809523809526,182,4137
MONDO:0008903,0.2280353921934686,0.03713817586018569,136,2358
MONDO:0005283,0.0191850621096974,0.008433079434167573,31,953
MONDO:0005559,0.208342459288275,0.08949945593035909,329,2706
MONDO:0006116,0.0301468871624885,0.011389521640091117,40,4438
MONDO:0005864,0.0077000882960921,0.004368004368004368,16,64
MONDO:0021353,0.0318843586033914,0.010065288356909684,37,308
MONDO:0005020,0.0973961334181219,0.05903155603917301,217,5430
MONDO:0017276,0.0061824286810744,0.0038157536113382394,14,62
MONDO:0001933,0.0526448375378069,0.013605442176870748,50,806
MONDO:0024573,0.0242999584536099,0.003268864069735767,12,19
MONDO:0005833,0.0080842672393553,0.00544069640914037,20,283
MONDO:0021069,0.099030145497111,0.04478427089022392,164,4251
MONDO:0000376,0.1555528800973182,0.0414960414960415,152,3542
MONDO:0002567,0.1106404530686712,0.005712731229597388,21,54
MONDO:0005089,0.0363680937680664,0.02074802074802075,76,1162
MONDO:0005213,0.0094760689388308,0.005191256830601093,19,326
MONDO:0002116,0.0605395304004642,0.008212428141253765,30,1050
MONDO:0019956,0.0039741480420693,0.003264417845484222,12,81
MONDO:0019060,0.1904731180668871,0.05223068552774755,192,2673
MONDO:0005258,0.059066794001697,0.015233949945593036,56,255
MONDO:0024352,0.0126662011161308,0.00681384573453257,25,1822
MONDO:0002108,0.0093400950568123,0.006553795740032769,24,756
MONDO:0007763,0.0233216745376659,0.0035675082327113064,13,37
MONDO:0005265,0.0418657691756756,0.011697497279651796,43,414
MONDO:0005061,0.1097387742215194,0.017679558011049725,64,1857
MONDO:0006704,0.0987692243219803,0.018775510204081632,69,327
MONDO:0036976,0.017410346629665,0.006258503401360544,23,20
MONDO:0005005,0.0233344329885614,0.0035675082327113064,13,37
MONDO:0006256,0.0636360785791207,0.007407407407407408,26,821
MONDO:0012817,0.0099088044566815,0.003825136612021858,14,385
MONDO:0010643,0.2286073441807527,0.056691196511310986,208,3280
MONDO:0005090,0.0590211458275671,0.020946681175190423,77,309
MONDO:0024880,0.0172152636363325,0.006279006279006279,23,90
MONDO:0100038,0.0712537966535662,0.02013057671381937,74,435
MONDO:0001014,0.1035999241822931,0.012264922322158627,45,256
MONDO:0021251,0.0062763629530058,0.0035364526659412403,13,333
MONDO:0001406,0.0085120542556156,0.0051700680272108845,19,134
MONDO:0006047,0.0276981136387253,0.006311745334796927,23,1428
MONDO:0005497,0.0047720936059814,0.004080522306855278,15,323
MONDO:0021089,0.0034430032987797,0.003003823047515019,11,227
MONDO:0005554,0.1077236558344291,0.02910772578890098,107,784
MONDO:0015650,0.0144445765434849,0.003271537622682661,12,22
MONDO:0021355,0.0151433874191377,0.004352557127312296,16,358
MONDO:0024883,0.0113256647263718,0.006256800870511426,23,807
MONDO:0004298,0.3619178066015096,0.008161044613710556,30,111
MONDO:0004251,0.0050699143751759,0.0035364526659412403,13,282
MONDO:0005135,0.0075434729599756,0.003540305010893246,13,270
MONDO:0005549,0.0348880468803304,0.0043907793633369925,16,93
MONDO:0016120,0.0130359327435767,0.0029923830250272033,11,60
MONDO:0003749,0.0282252095872991,0.005712731229597388,21,324
MONDO:0037256,0.0379264766457953,0.0035374149659863946,13,90
MONDO:0100329,0.1514929256128789,0.04332425068119891,159,4638
MONDO:0005267,0.0650754440288294,0.024217687074829932,89,3552
MONDO:0100096,0.0242114375782741,0.0032697547683923707,12,305
MONDO:0005084,0.186692907211853,0.058759521218716,216,779
MONDO:0000510,0.0075639121954277,0.0035431997819569366,13,12
MONDO:0006424,0.017257221459407,0.013057671381936888,48,1300
MONDO:0022034,0.028592609862493,0.011444141689373298,42,822
MONDO:0000621,0.2235251705013794,0.06715806715806716,246,3661
MONDO:0020592,0.0077410426916572,0.004080522306855278,15,276
MONDO:0100310,0.0040219973064338,0.0035364526659412403,13,241
MONDO:0003274,0.2310965399522742,0.10510510510510511,385,9703
MONDO:0007576,0.0170579946221583,0.0038230475150191155,14,179
MONDO:0021193,0.1424502646941087,0.08324265505984767,306,4244
MONDO:0002229,0.0425633139439103,0.008165487207403375,30,751
